Channel,Date,CA hotel target,CA flight target,Cost,Sum_Install,CA_hotel,CA_flight,Total Budget,CA_hotel_log,CA_flight_log,Cost_log,Budget_log,Tier
android-UAC App Install,1-May,23000,30769,8903.14,3012,88,222,250000,1.944482672,2.346352974,3.949543203,5.397940009,HIGH
android-UAC App Install,1-Jun,29400,41538,30226.38,3723,85,221,400000,1.929418926,2.344392274,4.480386138,5.602059991,HIGH
android-UAC App Install,1-Jul,27300,53846,65833.97,16910,218,509,500000,2.338456494,2.706717782,4.818450045,5.698970004,HIGH
android-UAC App Install,1-Aug,25200,33500,29987.91,10541,227,565,300000,2.356025857,2.752048448,4.476946199,5.477121255,HIGH
android-UAC App Install,1-Sep,29-Jun,42000,50293.35,19940,401,981,350000,2.603144373,2.991669007,4.701510565,5.544068044,HIGH
android-UAC App Install,1-Oct,12300,20000,53091.64,30727,1232,2031,300000,3.090610708,3.307709923,4.725026141,5.477121255,HIGH
android-UAC App Install,1-Nov,12900,23000,117179.48,41872,1605,2928,325000,3.205475037,3.466571072,5.068851566,5.511883361,HIGH
android-UAC App Install,1-Dec,14400,24000,111280.47,83333,4001,5288,350000,3.602168551,3.723291446,5.046418951,5.544068044,HIGH
android-UAC App Install,1-Jan,12300,18000,96723.3,64581,3215,5304,320000,3.507180977,3.724603515,4.985531105,5.505149978,HIGH
android-UAC App Install,1-Feb,12900,20500,103415.81,65776,3061,4988,346300,3.48586333,3.697926445,5.014586938,5.539452492,HIGH
android-UAC App Install,1-Mar,14400,23000,100024.21,86166,4338,6926,448100,3.637289548,3.840482487,5.00010513,5.651374944,HIGH
android-UAC App Install,1-Apr,15000,36500,198714.55,141356,7195,8780,629800,3.857030798,3.943494516,5.298229668,5.799202656,HIGH
android-UAC App Install,1-May,22500,34500,172358.96,111341,5883,10229,767400,3.769598848,4.009833179,5.236433865,5.885021795,HIGH
android-UAC App Install,1-Jun,24750,40000,252593.11,209374,8313,16572,1318450,3.919757781,4.219374925,5.4024215,6.120063665,HIGH
ios-BBM App Install,1-Jan,8400,20000,6218.4,3257,67,142,250000,1.826074803,2.152288344,3.793678655,5.397940009,NORMAL
ios-BBM App Install,1-Feb,11000,20000,5115.6,4783,183,343,200000,2.26245109,2.53529412,3.708896579,5.301029996,NORMAL
ios-BBM App Install,1-Mar,12800,27692,4464,6895,281,427,250000,2.44870632,2.630427875,3.649724186,5.397940009,NORMAL
ios-BBM App Install,1-Apr,18000,29230,3213.6,2455,253,359,200000,2.403120521,2.555094449,3.506991819,5.301029996,NORMAL
ios-BBM App Install,1-May,23000,30769,11428.8,6638,347,469,250000,2.540329475,2.671172843,4.058000633,5.397940009,NORMAL
ios-BBM App Install,1-Jun,29400,41538,4848,2692,344,565,400000,2.536558443,2.752048448,3.685562611,5.602059991,NORMAL
ios-BBM App Install,1-Jul,27300,53846,13239.6,4254,420,520,500000,2.62324929,2.716003344,4.121874864,5.698970004,NORMAL
ios-BBM App Install,1-Aug,25200,33500,10496.4,6598,364,485,300000,2.561101384,2.685741739,4.021040373,5.477121255,NORMAL
ios-BBM App Install,1-Sep,29-Jun,42000,4600.8,2412,316,381,350000,2.499687083,2.580924976,3.662833355,5.544068044,NORMAL
ios-BBM App Install,1-Oct,12300,20000,2232,2163,338,403,300000,2.5289167,2.605305046,3.34869419,5.477121255,NORMAL
ios-BBM App Install,1-Nov,12900,23000,1579.2,1537,315,374,325000,2.498310554,2.572871602,3.198437135,5.511883361,NORMAL
ios-BBM App Install,1-Dec,14400,24000,2145.6,1861,326,358,350000,2.5132176,2.553883027,3.331548761,5.544068044,NORMAL
ios-BBM App Install,1-Jan,12300,18000,1332,1771,216,316,320000,2.334453751,2.499687083,3.124504225,5.505149978,NORMAL
ios-BBM App Install,1-Feb,12900,20500,1093.2,834,129,161,346300,2.11058971,2.206825876,3.038699623,5.539452492,NORMAL
ios-BBM App Install,1-Mar,14400,23000,1287.6,892,117,127,448100,2.068185862,2.103803721,3.109780968,5.651374944,NORMAL
ios-BBM App Install,1-Apr,15000,36500,1209.6,868,116,120,629800,2.064457989,2.079181246,3.082641778,5.799202656,NORMAL
ios-BBM App Install,1-May,22500,34500,1105.2,619,68,117,767400,1.832508913,2.068185862,3.043440876,5.885021795,NORMAL
ios-BBM App Install,1-Jun,24750,40000,1002,847,71,120,1318450,1.851258349,2.079181246,3.000867722,6.120063665,NORMAL
ios-Facebook App Install,1-Jan,8400,20000,2900.35,682,11,22,250000,1.041392685,1.342422681,3.46245041,5.397940009,NORMAL
ios-Facebook App Install,1-Feb,11000,20000,#N/A,1453,78,122,200000,1.892094603,2.086359831,#N/A,5.301029996,NORMAL
ios-Facebook App Install,1-Mar,12800,27692,#N/A,1425,87,81,250000,1.939519253,1.908485019,#N/A,5.397940009,NORMAL
ios-Facebook App Install,1-Apr,18000,29230,#N/A,1147,117,113,200000,2.068185862,2.053078443,#N/A,5.301029996,NORMAL
ios-Facebook App Install,1-May,23000,30769,#N/A,986,134,144,250000,2.127104798,2.158362492,#N/A,5.397940009,NORMAL
