"Date","Channel","Tier","CA_hotel_target","CA_flight_target","Cost","Sum_Install","CA_hotel","CA_flight","Total_budget"
"1-Mar","ios  -  BBM App Install","NORMAL",14400,23000,1287.6,892,117,127,448100
"1-Apr","ios  -  BBM App Install","NORMAL",15000,36500,1209.6,868,116,120,629800
"1-May","ios  -  BBM App Install","NORMAL",22500,34500,1105.2,619,68,117,767400
"1-Jun","ios  -  BBM App Install","NORMAL",24750,40000,1002,847,71,120,1318450
"1-Jan","ios  -  Facebook App Install","NORMAL",8400,20000,2900.35,682,11,22,250000
"1-Feb","ios  -  Facebook App Install","NORMAL",11000,20000,NA,1453,78,122,200000
"1-Mar","ios  -  Facebook App Install","NORMAL",12800,27692,NA,1425,87,81,250000
"1-Apr","ios  -  Facebook App Install","NORMAL",18000,29230,NA,1147,117,113,200000
"1-May","ios  -  Facebook App Install","NORMAL",23000,30769,NA,986,134,144,250000
"1-Jun","ios  -  Facebook App Install","NORMAL",29400,41538,1383.86,1177,106,134,400000
"1-Jul","ios  -  Facebook App Install","NORMAL",27300,53846,8464.62,2496,198,175,500000
"1-Aug","ios  -  Facebook App Install","NORMAL",25200,33500,5167.82,1632,123,148,300000
"1-Sep","ios  -  Facebook App Install","NORMAL",NA,42000,22118.78,1972,145,173,350000
"1-Oct","ios  -  Facebook App Install","NORMAL",12300,20000,10479.75,2249,190,234,300000
"1-Nov","ios  -  Facebook App Install","NORMAL",12900,23000,4842.5,1932,195,248,325000
"1-Dec","ios  -  Facebook App Install","NORMAL",14400,24000,3733.22,9805,666,565,350000
"1-Jan","ios  -  Facebook App Install","NORMAL",12300,18000,3802.62,10031,861,917,320000
"1-Feb","ios  -  Facebook App Install","NORMAL",12900,20500,5249.55,5680,582,662,346300
"1-Mar","ios  -  Facebook App Install","NORMAL",14400,23000,10189.19,9791,839,986,448100
"1-Apr","ios  -  Facebook App Install","NORMAL",15000,36500,13894.79,4255,842,753,629800
"1-May","ios  -  Facebook App Install","NORMAL",22500,34500,14975.34,2627,618,654,767400
"1-Jun","ios  -  Facebook App Install","NORMAL",24750,40000,38882.34,3463,602,709,1318450
