"reporting_date","platform","channel_group","total_cost_usd"
"12/19/2016","android","Iron Source App Install",600.3
"12/19/2016","ios","Instagram App Install",0
"12/19/2016","ios","inMobi App Install",0
"12/19/2016","android","BBM App Install",1251.6
"12/19/2016","ios","Facebook DPA",0
"12/19/2016","ios","Facebook App Install",94.02
"12/19/2016","android","Facebook DPA",0
"12/19/2016","android","Instagram App Install",0
"12/19/2016","android","Glispa App Install",1566.4
"12/19/2016","android","inMobi App Install",3003
"12/19/2016","ios","UAC App Install",0
"12/19/2016","android","UAC App Install",0
"12/19/2016","android","GDN App Install",2359.65
"12/19/2016","ios","GDN App Install",2169.07
"12/19/2016","android","Facebook App Install",3290.87
"12/18/2016","ios","GDN App Install",1644.79
"12/18/2016","android","Facebook DPA",0
"12/18/2016","ios","Facebook DPA",0
"12/18/2016","ios","inMobi App Install",0
"12/18/2016","android","Facebook App Install",3207.5
"12/18/2016","ios","UAC App Install",0
"12/18/2016","android","Instagram App Install",0
"12/18/2016","android","BBM App Install",1099.2
"12/18/2016","android","GDN App Install",1841.96
"12/18/2016","android","Iron Source App Install",741.6
"12/18/2016","android","Glispa App Install",1258.4
"12/18/2016","ios","Facebook App Install",99.05
"12/18/2016","android","inMobi App Install",2933
"12/18/2016","ios","Instagram App Install",0
"12/18/2016","ios","BBM App Install",66
"12/18/2016","android","UAC App Install",0
"12/17/2016","android","Iron Source App Install",489.6
"12/17/2016","ios","Facebook App Install",79.54
"12/17/2016","android","Facebook DPA",0
"12/17/2016","ios","Facebook DPA",0
"12/17/2016","ios","BBM App Install",49.2
"12/17/2016","android","inMobi App Install",3011.4
"12/17/2016","ios","UAC App Install",0
"12/17/2016","ios","inMobi App Install",0
"12/17/2016","android","UAC App Install",0
"12/17/2016","android","Facebook App Install",3291.88
"12/17/2016","ios","GDN App Install",1632.26
"12/17/2016","android","BBM App Install",991.2
"12/17/2016","android","Instagram App Install",0
"12/17/2016","android","Glispa App Install",1145.1
"12/17/2016","ios","Instagram App Install",0
"12/17/2016","android","GDN App Install",1852.96
"12/16/2016","ios","GDN App Install",1844.2
"12/16/2016","ios","Facebook DPA",0
"12/16/2016","android","UAC App Install",0
"12/16/2016","ios","inMobi App Install",0
"12/16/2016","android","inMobi App Install",2791.6
"12/16/2016","android","Glispa App Install",1272.7
"12/16/2016","android","Facebook DPA",0
"12/16/2016","android","Facebook App Install",2971.07
"12/16/2016","android","GDN App Install",1967.14
"12/16/2016","android","Iron Source App Install",545.4
"12/16/2016","android","Instagram App Install",0
"12/16/2016","ios","Instagram App Install",0
"12/16/2016","ios","BBM App Install",57.6
"12/16/2016","android","BBM App Install",1042.8
"12/16/2016","ios","UAC App Install",0
"12/16/2016","ios","Facebook App Install",80.61
"12/15/2016","ios","Instagram App Install",0
"12/15/2016","android","Facebook DPA",0
"12/15/2016","ios","inMobi App Install",0
"12/15/2016","android","Instagram App Install",0
"12/15/2016","android","Iron Source App Install",583.2
"12/15/2016","android","UAC App Install",0
"12/15/2016","android","GDN App Install",2137.45
"12/15/2016","ios","Facebook DPA",0
"12/15/2016","android","Facebook App Install",2938.13
"12/15/2016","android","Glispa App Install",1059.3
"12/15/2016","android","BBM App Install",724.8
"12/15/2016","android","inMobi App Install",2056.6
"12/15/2016","ios","BBM App Install",50.4
"12/15/2016","ios","Facebook App Install",108.27
"12/15/2016","ios","GDN App Install",1925.81
"12/15/2016","ios","UAC App Install",0
"12/14/2016","android","Facebook DPA",0
"12/14/2016","android","Facebook App Install",2751.26
"12/14/2016","ios","Instagram App Install",0
"12/14/2016","android","Glispa App Install",1137.4
"12/14/2016","ios","GDN App Install",792.69
"12/14/2016","android","inMobi App Install",1569.4
"12/14/2016","ios","BBM App Install",62.4
"12/14/2016","ios","inMobi App Install",0
"12/14/2016","ios","Facebook App Install",131.84
"12/14/2016","android","GDN App Install",2153.15
"12/14/2016","android","Instagram App Install",0
"12/14/2016","android","Iron Source App Install",594
"12/14/2016","ios","UAC App Install",0
"12/14/2016","ios","Facebook DPA",0
"12/14/2016","android","UAC App Install",0
"12/14/2016","android","BBM App Install",862.8
"12/13/2016","ios","Facebook DPA",0
"12/13/2016","ios","inMobi App Install",0
"12/13/2016","ios","Facebook App Install",178.22
"12/13/2016","android","Glispa App Install",1105.5
"12/13/2016","android","Instagram App Install",0
"12/13/2016","android","Facebook DPA",0
"12/13/2016","android","UAC App Install",0
"12/13/2016","ios","UAC App Install",0
"12/13/2016","android","GDN App Install",2810.54
"12/13/2016","android","BBM App Install",962.4
"12/13/2016","ios","Instagram App Install",0
"12/13/2016","android","Facebook App Install",2907.72
"12/13/2016","ios","BBM App Install",55.2
"12/13/2016","ios","GDN App Install",796.89
"12/13/2016","android","Iron Source App Install",592.2
"12/13/2016","android","inMobi App Install",1776.6
